File 	Number of CSVs 	Lines 	 Cumulative Lines
../source-data/Dimensions-Publication-2020-05-18_13-12-59.csv 	1	5 	5
../source-data/Dimensions-Publication-2020-06-09_13-59-10.csv 	2	276 	281
../source-data/Dimensions-Publication-2020-07-13_17-42-25.csv 	3	414 	695
../source-data/Dimensions-Publication-2020-05-30_19-23-27.csv 	4	238 	933
../source-data/Dimensions-Publication-2020-09-15_13-36-37-cleaned.csv 	5	664 	1597
../source-data/Dimensions-Publication-2020-06-29_18-15-43.csv 	6	376 	1973
../source-data/Dimensions-Publication-2020-08-05_18-42-10.csv 	7	492 	2465
../source-data/Dimensions-Publication-2020-05-20_03-39-17.csv 	8	192 	2657
../source-data/Dimensions-Publication-2020-04-29_23-36-00.csv 	9	115 	2772
../source-data/Dimensions-Publication-2020-08-27_14-54-02.csv 	10	569 	3341
../source-data/Dimensions-Publication-2020-05-11_16-12-08.csv 	11	170 	3511
