File 	Number of CSVs 	Lines 	 Cumulative Lines
../source-data/Dimensions-Publication-2020-05-18_13-12-59.csv 	1	5 	5
../source-data/Dimensions-Publication-2020-06-09_13-59-10.csv 	2	276 	281
../source-data/Dimensions-Publication-2020-07-13_17-42-25.csv 	3	414 	695
../source-data/Dimensions-Publication-2020-05-30_19-23-27.csv 	4	238 	933
../source-data/Dimensions-Publication-2020-09-29_17-54-53-cleaned.csv 	5	708 	1641
../source-data/Dimensions-Publication-2020-09-15_13-36-37-cleaned.csv 	6	664 	2305
../source-data/Dimensions-Publication-2020-06-29_18-15-43.csv 	7	376 	2681
../source-data/Dimensions-Publication-2020-08-05_18-42-10.csv 	8	492 	3173
../source-data/Dimensions-Publication-2020-05-20_03-39-17.csv 	9	192 	3365
../source-data/Dimensions-Publication-2020-04-29_23-36-00.csv 	10	115 	3480
../source-data/Dimensions-Publication-2020-08-27_14-54-02.csv 	11	569 	4049
../source-data/Dimensions-Publication-2020-05-11_16-12-08.csv 	12	170 	4219
