File 	Number of CSVs 	Lines 	 Cumulative Lines
../source-data/Dimensions-Publication-2020-10-14_15-44-51-cleaned.csv 	1	778 	778
../source-data/Dimensions-Publication-2020-05-18_13-12-59.csv 	2	5 	783
../source-data/Dimensions-Publication-2020-06-09_13-59-10.csv 	3	276 	1059
../source-data/Dimensions-Publication-2020-07-13_17-42-25.csv 	4	414 	1473
../source-data/Dimensions-Publication-2020-05-30_19-23-27.csv 	5	238 	1711
../source-data/Dimensions-Publication-2020-09-29_17-54-53-cleaned.csv 	6	708 	2419
../source-data/Dimensions-Publication-2020-09-15_13-36-37-cleaned.csv 	7	664 	3083
../source-data/Dimensions-Publication-2020-06-29_18-15-43.csv 	8	376 	3459
../source-data/Dimensions-Publication-2020-08-05_18-42-10.csv 	9	492 	3951
../source-data/Dimensions-Publication-2020-05-20_03-39-17.csv 	10	192 	4143
../source-data/Dimensions-Publication-2020-04-29_23-36-00.csv 	11	115 	4258
../source-data/Dimensions-Publication-2020-08-27_14-54-02.csv 	12	569 	4827
../source-data/Dimensions-Publication-2020-05-11_16-12-08.csv 	13	170 	4997
