File 	Number of CSVs 	Lines 	 Cumulative Lines
../source-data/Dimensions-Publication-2020-10-14_15-44-51-cleaned.csv 	1	778 	778
../source-data/Dimensions-Publication-2020-05-18_13-12-59.csv 	2	5 	783
../source-data/Dimensions-Publication-2021-01-29_18-23-06-cleaned.csv 	3	1323 	2106
../source-data/Dimensions-Publication-2020-06-09_13-59-10.csv 	4	276 	2382
../source-data/Dimensions-Publication-2020-07-13_17-42-25.csv 	5	414 	2796
../source-data/Dimensions-Publication-2020-05-30_19-23-27.csv 	6	238 	3034
../source-data/Dimensions-Publication-2020-09-29_17-54-53-cleaned.csv 	7	708 	3742
../source-data/Dimensions-Publication-2020-11-13_13-59-34-cleaned.csv 	8	941 	4683
../source-data/Dimensions-Publication-2020-09-15_13-36-37-cleaned.csv 	9	664 	5347
../source-data/Dimensions-Publication-2020-06-29_18-15-43.csv 	10	376 	5723
../source-data/Dimensions-Publication-2020-10-27_00-18-45-cleaned.csv 	11	835 	6558
../source-data/Dimensions-Publication-2020-08-05_18-42-10.csv 	12	492 	7050
../source-data/Dimensions-Publication-2020-05-20_03-39-17.csv 	13	192 	7242
../source-data/Dimensions-Publication-2020-11-30_19-18-15-cleaned.csv 	14	996 	8238
../source-data/Dimensions-Publication-2020-12-29_04-45-33-cleaned.csv 	15	1179 	9417
../source-data/Dimensions-Publication-2020-04-29_23-36-00.csv 	16	115 	9532
../source-data/Dimensions-Publication-2020-08-27_14-54-02.csv 	17	569 	10101
../source-data/Dimensions-Publication-2020-05-11_16-12-08.csv 	18	170 	10271
../source-data/Dimensions-Publication-2020-12-16_18-01-35-cleaned.csv 	19	1057 	11328
