File 	Number of CSVs 	Lines 	 Cumulative Lines
../source-data/Dimensions-Publication-2020-10-14_15-44-51-cleaned.csv 	1	778 	778
../source-data/Dimensions-Publication-2020-05-18_13-12-59.csv 	2	5 	783
../source-data/Dimensions-Publication-2021-01-29_18-23-06-cleaned.csv 	3	1323 	2106
../source-data/Dimensions-Publication-2020-06-09_13-59-10.csv 	4	276 	2382
../source-data/Dimensions-Publication-2020-07-13_17-42-25.csv 	5	414 	2796
../source-data/Dimensions-Publication-2020-05-30_19-23-27.csv 	6	238 	3034
../source-data/Dimensions-Publication-2020-09-29_17-54-53-cleaned.csv 	7	708 	3742
../source-data/Dimensions-Publication-2020-11-13_13-59-34-cleaned.csv 	8	941 	4683
../source-data/Dimensions-Publication-2021-02-28_12-51-09-cleaned.csv 	9	1524 	6207
../source-data/Dimensions-Publication-2020-09-15_13-36-37-cleaned.csv 	10	664 	6871
../source-data/Dimensions-Publication-2020-06-29_18-15-43.csv 	11	376 	7247
../source-data/Dimensions-Publication-2020-10-27_00-18-45-cleaned.csv 	12	835 	8082
../source-data/Dimensions-Publication-2021-04-01_02-26-40-cleaned.csv 	13	1737 	9819
../source-data/Dimensions-Publication-2020-08-05_18-42-10.csv 	14	492 	10311
../source-data/Dimensions-Publication-2020-05-20_03-39-17.csv 	15	192 	10503
../source-data/Dimensions-Publication-2020-11-30_19-18-15-cleaned.csv 	16	996 	11499
../source-data/Dimensions-Publication-2020-12-29_04-45-33-cleaned.csv 	17	1179 	12678
../source-data/Dimensions-Publication-2021-05-12_20-06-22-cleaned.csv 	18	2039 	14717
../source-data/Dimensions-Publication-2020-04-29_23-36-00.csv 	19	115 	14832
../source-data/Dimensions-Publication-2020-08-27_14-54-02.csv 	20	569 	15401
../source-data/Dimensions-Publication-2020-05-11_16-12-08.csv 	21	170 	15571
../source-data/Dimensions-Publication-2020-12-16_18-01-35-cleaned.csv 	22	1057 	16628
