File 	Number of CSVs 	Lines 	 Cumulative Lines
../source-data/Dimensions-Publication-2020-10-14_15-44-51-cleaned.csv 	1	778 	778
../source-data/Dimensions-Publication-2020-05-18_13-12-59.csv 	2	5 	783
../source-data/Dimensions-Publication-2021-06-02_21-42-02.csv 	3	4435 	5218
../source-data/Dimensions-Publication-2021-01-29_18-23-06-cleaned.csv 	4	1323 	6541
../source-data/Dimensions-Publication-2020-06-09_13-59-10.csv 	5	276 	6817
../source-data/Dimensions-Publication-2020-07-13_17-42-25.csv 	6	414 	7231
../source-data/Dimensions-Publication-2020-05-30_19-23-27.csv 	7	238 	7469
../source-data/Dimensions-Publication-2021-06-30_17-02-57.csv 	8	4726 	12195
../source-data/Dimensions-Publication-2020-09-29_17-54-53-cleaned.csv 	9	708 	12903
../source-data/Dimensions-Publication-2020-11-13_13-59-34-cleaned.csv 	10	941 	13844
../source-data/Dimensions-Publication-2021-02-28_12-51-09-cleaned.csv 	11	1524 	15368
../source-data/Dimensions-Publication-2020-09-15_13-36-37-cleaned.csv 	12	664 	16032
../source-data/Dimensions-Publication-2020-06-29_18-15-43.csv 	13	376 	16408
../source-data/Dimensions-Publication-2020-10-27_00-18-45-cleaned.csv 	14	835 	17243
../source-data/Dimensions-Publication-2021-04-01_02-26-40-cleaned.csv 	15	1737 	18980
../source-data/Dimensions-Publication-2020-08-05_18-42-10.csv 	16	492 	19472
../source-data/Dimensions-Publication-2020-05-20_03-39-17.csv 	17	192 	19664
../source-data/Dimensions-Publication-2020-11-30_19-18-15-cleaned.csv 	18	996 	20660
../source-data/Dimensions-Publication-2020-12-29_04-45-33-cleaned.csv 	19	1179 	21839
../source-data/Dimensions-Publication-2021-05-12_20-06-22-cleaned.csv 	20	2039 	23878
../source-data/Dimensions-Publication-2020-04-29_23-36-00.csv 	21	115 	23993
../source-data/Dimensions-Publication-2020-08-27_14-54-02.csv 	22	569 	24562
../source-data/Dimensions-Publication-2020-05-11_16-12-08.csv 	23	170 	24732
../source-data/Dimensions-Publication-2020-12-16_18-01-35-cleaned.csv 	24	1057 	25789
