Date_of_update 	Collated CSV files 	Number of items/articles in update 	Number of DOIs in update 	Unique DOIs in update (one or more occurrence) 	New DOIs in update (only one occurence) 	Note             	Combined CSV file                                 	CSV Inventory file                              	New DOI file
20200520       	4                  	478                                	478                      	190                                            	19                                      	No note recorded 	../combined-CSVs/combination-list-py-20200520.csv 	../combined-CSV-logs/csv_inventory_20200520.tsv 	../new-doi-lists/unique_doi_output-20200520.txt
20200530       	5                  	715                                	715                      	236                                            	46                                      	No note recorded 	../combined-CSVs/combination-list-py-20200530.csv 	../combined-CSV-logs/csv_inventory_20200530.tsv 	../new-doi-lists/unique_doi_output-20200530.txt
20200609       	6                  	990                                	990                      	275                                            	39                                      	No note recorded 	../combined-CSVs/combination-list-py-20200609.csv 	../combined-CSV-logs/csv_inventory_20200609.tsv 	../new-doi-lists/unique_doi_output-20200609.txt
20200629       	7                  	1365                               	1365                     	376                                            	101                                     	No note recorded 	../combined-CSVs/combination-list-py-20200629.csv 	../combined-CSV-logs/csv_inventory_20200629.tsv 	../new-doi-lists/unique_doi_output-20200629.txt
20200713       	8                  	1778                               	1778                     	416                                            	40                                      	No note recorded 	../combined-CSVs/combination-list-py-20200713.csv 	../combined-CSV-logs/csv_inventory_20200713.tsv 	../new-doi-lists/unique_doi_output-20200713.txt
20200805       	9                  	2269                               	2269                     	503                                            	87                                      	No note recorded 	../combined-CSVs/combination-list-py-20200805.csv 	../combined-CSV-logs/csv_inventory_20200805.tsv 	../new-doi-lists/unique_doi_output-20200805.txt
20200827       	10                 	2837                               	2837                     	583                                            	81                                      	No note recorded 	../combined-CSVs/combination-list-py-20200827.csv 	../combined-CSV-logs/csv_inventory_20200827.tsv 	../new-doi-lists/unique_doi_output-20200827.txt
20200915       	11                 	3500                               	3498                     	678                                            	96                                      	No note recorded 	../combined-CSVs/combination-list-py-20200915.csv 	../combined-CSV-logs/csv_inventory_20200915.tsv 	../new-doi-lists/unique_doi_output-20200915.txt
20200929       	12                 	4207                               	4203                     	722                                            	45                                      	No note recorded 	../combined-CSVs/combination-list-py-20200929.csv 	../combined-CSV-logs/csv_inventory_20200929.tsv 	../new-doi-lists/unique_doi_output-20200929.txt
20201014	13	4984	4978	794	74	No note recorded	../combined-CSVs/combination-list-py-20201014.csv	../combined-CSV-logs/csv_inventory_20201014.tsv	../new-doi-lists/unique_doi_output-20201014.txt
20201027	14	5818	5810	853	61	No note recorded	../combined-CSVs/combination-list-py-20201027.csv	../combined-CSV-logs/csv_inventory_20201027.tsv	../new-doi-lists/unique_doi_output-20201027.txt
20201113	15	6758	6748	960	110	No note recorded	../combined-CSVs/combination-list-py-20201113.csv	../combined-CSV-logs/csv_inventory_20201113.tsv	../new-doi-lists/unique_doi_output-20201113.txt
20201130	16	7753	7741	1016	59	No note recorded	../combined-CSVs/combination-list-py-20201130.csv	../combined-CSV-logs/csv_inventory_20201130.tsv	../new-doi-lists/unique_doi_output-20201130.txt
20201216	17	8809	8795	1080	68	No note recorded	../combined-CSVs/combination-list-py-20201216.csv	../combined-CSV-logs/csv_inventory_20201216.tsv	../new-doi-lists/unique_doi_output-20201216.txt
20201229	18	9987	9971	1188	108	No note recorded	../combined-CSVs/combination-list-py-20201229.csv	../combined-CSV-logs/csv_inventory_20201229.tsv	../new-doi-lists/unique_doi_output-20201229.txt
20210129	19	11309	11291	1333	145	No note recorded	../combined-CSVs/combination-list-py-20210129.csv	../combined-CSV-logs/csv_inventory_20210129.tsv	../new-doi-lists/unique_doi_output-20210129.txt
20210228	20	12832	12812	1531	199	"Two new fields added to the CSV export from Dimensions (dates for: online publication & print publication), required change in field headers"	../combined-CSVs/combination-list-py-20210228.csv	../combined-CSV-logs/csv_inventory_20210228.tsv	../new-doi-lists/unique_doi_output-20210228.txt
20210401	21	14568	14546	1758	231	No note recorded	../combined-CSVs/combination-list-py-20210401.csv	../combined-CSV-logs/csv_inventory_20210401.tsv	../new-doi-lists/unique_doi_output-20210401.txt
20210512	22	16606	16581	2059	307	No note recorded	../combined-CSVs/combination-list-py-20210512.csv	../combined-CSV-logs/csv_inventory_20210512.tsv	../new-doi-lists/unique_doi_output-20210512.txt